acousticness,bb_index,billboard_artist,billboard_name,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,spotify_album,spotify_artist,spotify_song,tempo,time_signature,type,uri,valence
0.0619,0.0,macklemore & ryan lewis,thrift shop,0.781,235613.0,0.526,4YMqbFcDIFiCBd02PzUBcM,0.0,6.0,0.0457,-6.985,0.0,70.0,2012-10-10,0.293,The Heist,Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),94.992,4.0,audio_features,spotify:track:4YMqbFcDIFiCBd02PzUBcM,0.662
0.00373,1.0,robin thicke,blurred lines,0.862,263827.0,0.608,0n4bITAu0Y0nigrz3MFJMb,6.14e-06,7.0,0.0856,-4.762,1.0,73.0,2013-01-01,0.0402,Blurred Lines (Deluxe),Robin Thicke,Blurred Lines,120.002,4.0,audio_features,spotify:track:0n4bITAu0Y0nigrz3MFJMb,0.836
0.106,2.0,imagine dragons,radioactive,0.448,186813.0,0.784,4G8gkOterJn0Ywt6uhqbhp,0.000108,9.0,0.668,-3.686,1.0,72.0,2012-01-01,0.0627,Night Visions,Imagine Dragons,Radioactive,136.245,4.0,audio_features,spotify:track:4G8gkOterJn0Ywt6uhqbhp,0.236
0.0111,3.0,baauer,harlem shake,0.452,196664.0,0.794,01XFgRZfZI7oBagNf1Loml,0.00182,0.0,0.416,-5.151,1.0,57.0,2013-02-12,0.0483,Harlem Shake,Baauer,Harlem Shake,137.825,4.0,audio_features,spotify:track:01XFgRZfZI7oBagNf1Loml,0.282
0.0291,4.0,macklemore & ryan lewis,can't hold us,0.641,258343.0,0.922,3bidbhpOYeV4knp8AIu8Xn,0.0,2.0,0.0862,-4.457,1.0,80.0,2012-10-09,0.0786,The Heist,Macklemore & Ryan Lewis,Can't Hold Us - feat. Ray Dalton,146.078,4.0,audio_features,spotify:track:3bidbhpOYeV4knp8AIu8Xn,0.847
0.234,5.0,justin timberlake,mirrors,0.574,484147.0,0.512,4rHZZAmHpZrA3iH5zx8frV,0.0,5.0,0.0946,-6.664,0.0,75.0,2013-03-15,0.0503,The 20/20 Experience (Deluxe Version),Justin Timberlake,Mirrors,76.899,4.0,audio_features,spotify:track:4rHZZAmHpZrA3iH5zx8frV,0.512
0.346,6.0,pink,just give me a reason,0.778,242733.0,0.547,4VC5nFbYO4avKksJ9jN4pY,0.000302,2.0,0.132,-7.273,1.0,70.0,2012-09-14,0.0489,The Truth About Love,P!nk,Just Give Me a Reason (feat. Nate Ruess),95.002,4.0,audio_features,spotify:track:4VC5nFbYO4avKksJ9jN4pY,0.441
0.932,7.0,bruno mars,when i was your man,0.612,213827.0,0.28,0nJW01T7XtvILxQgC5J7Wh,0.0,0.0,0.088,-8.648,1.0,81.0,2012-12-07,0.0434,Unorthodox Jukebox,Bruno Mars,When I Was Your Man,72.795,4.0,audio_features,spotify:track:0nJW01T7XtvILxQgC5J7Wh,0.387
0.0191,8.0,florida georgia line,cruise,0.457,208960.0,0.948,0i5el041vd6nxrGEU8QRxy,0.0,10.0,0.0536,-3.364,1.0,70.0,2012-01-01,0.0354,Here's To The Good Times,Florida Georgia Line,Cruise,148.0,4.0,audio_features,spotify:track:0i5el041vd6nxrGEU8QRxy,0.878
0.00487,9.0,katy perry,roar,0.554,223546.0,0.772,6F5c58TMEs1byxUstkzVeM,6.6e-06,7.0,0.354,-4.821,0.0,76.0,2013-01-01,0.0418,PRISM (Deluxe),Katy Perry,Roar,179.984,4.0,audio_features,spotify:track:6F5c58TMEs1byxUstkzVeM,0.455
0.049,10.0,bruno mars,locked out of heaven,0.726,233478.0,0.698,3w3y8KPTfNeOKPiqUTakBh,0.0,5.0,0.309,-4.165,1.0,77.0,2012-12-07,0.0431,Unorthodox Jukebox,Bruno Mars,Locked Out of Heaven,143.994,4.0,audio_features,spotify:track:3w3y8KPTfNeOKPiqUTakBh,0.867
0.794,11.0,the lumineers,ho hey,0.685,163133.0,0.466,0W4Kpfp1w2xkY3PrV714B7,2.06e-06,0.0,0.0915,-9.074,1.0,69.0,2012-04-03,0.0304,The Lumineers,The Lumineers,Ho Hey,79.936,4.0,audio_features,spotify:track:0W4Kpfp1w2xkY3PrV714B7,0.353
0.949,12.0,rihanna,stay,0.619,240707.0,0.324,1dEy9Pl81QopSxNsPxXQxv,5.42e-05,9.0,0.114,-10.146,0.0,66.0,2012-12-11,0.0271,Unapologetic (Deluxe),Rihanna,Stay,111.927,4.0,audio_features,spotify:track:1dEy9Pl81QopSxNsPxXQxv,0.0965
