index,rank,song,artist_base,artist_all,year
0,"1
",thrift shop,macklemore & ryan lewis,macklemore & ryan lewis  featuring  wanz,2013
1,"2
",blurred lines,robin thicke,robin thicke  featuring  t.i.  and  pharrell williams,2013
2,"3
",radioactive,imagine dragons,imagine dragons,2013
3,"4
",harlem shake,baauer,baauer,2013
4,"5
",can't hold us,macklemore & ryan lewis,macklemore & ryan lewis  featuring  ray dalton,2013
5,"6
",mirrors,justin timberlake,justin timberlake,2013
6,"7
",just give me a reason,pink,pink  featuring  nate ruess,2013
7,"8
",when i was your man,bruno mars,bruno mars,2013
8,"9
",cruise,florida georgia line,florida georgia line  featuring  nelly,2013
9,"10
",roar,katy perry,katy perry,2013
10,"11
",locked out of heaven,bruno mars,bruno mars,2013
11,"12
",ho hey,the lumineers,the lumineers,2013
12,"13
",stay,rihanna,rihanna  featuring  mikky ekko,2013
13,"14
",get lucky,daft punk,daft punk  featuring  pharrell williams,2013
14,"15
",royals,lorde,lorde,2013
15,"16
",i knew you were trouble,taylor swift,taylor swift,2013
16,"17
",we can't stop,miley cyrus,miley cyrus,2013
17,"18
",wrecking ball,miley cyrus,miley cyrus,2013
18,"19
",wake me up,avicii,avicii,2013
19,"20
",suit & tie,justin timberlake,justin timberlake  featuring  jay-z,2013
20,"21
",cups (pitch perfect's ,anna kendrick,anna kendrick,2013
21,"22
",holy grail,jay-z,jay-z  featuring  justin timberlake,2013
22,"23
",scream & shout,will.i.am,will.i.am  featuring  britney spears,2013
23,"24
",clarity,zedd,zedd  featuring  foxes,2013
24,"25
",sail,awolnation,awolnation,2013
25,"26
",don't you worry child,swedish house mafia,swedish house mafia  featuring  john martin,2013
26,"27
",diamonds,rihanna,rihanna,2013
27,"28
",i love it,icona pop,icona pop  featuring  charli xcx,2013
28,"29
",safe and sound,capital cities,capital cities,2013
29,"30
",treasure,bruno mars,bruno mars,2013
30,"31
",the way,ariana grande,ariana grande  featuring  mac miller,2013
31,"32
",started from the bottom,drake,drake,2013
32,"33
",come & get it,selena gomez,selena gomez,2013
33,"34
","hold on, we're going home",drake,drake  featuring  majid jordan,2013
34,"35
",daylight,maroon 5,maroon 5,2013
35,"36
",feel this moment,pitbull,pitbull  featuring  christina aguilera,2013
36,"37
",applause,lady gaga,lady gaga,2013
37,"38
",one more night,maroon 5,maroon 5,2013
38,"39
",love me,lil wayne,lil wayne  featuring  drake  and  future,2013
39,"40
",my songs know what you did in the dark (light em up),fall out boy,fall out boy,2013
40,"41
",fuckin' problems,asap rocky,"asap rocky  featuring  drake ,  2 chainz  and  kendrick lamar",2013
41,"42
",beauty and a beat,justin bieber,justin bieber  featuring  nicki minaj,2013
42,"43
",same love,macklemore & ryan lewis,macklemore & ryan lewis  featuring  mary lambert,2013
43,"44
",sweet nothing,calvin harris,calvin harris  featuring  florence welch,2013
44,"45
",summertime sadness,lana del rey,lana del rey  and  cédric gervais,2013
45,"46
",home,phillip phillips,phillip phillips,2013
46,"47
",it's time,imagine dragons,imagine dragons,2013
47,"48
",power trip,j. cole,j. cole  featuring  miguel,2013
48,"49
",girl on fire,alicia keys,alicia keys,2013
49,"50
",heart attack,demi lovato,demi lovato,2013
50,"51
",love somebody,maroon 5,maroon 5,2013
51,"52
",i will wait,mumford & sons,mumford & sons,2013
52,"53
",try,pink,pink,2013
53,"54
",wagon wheel,darius rucker,darius rucker,2013
54,"55
",gangnam style,psy,psy,2013
55,"56
",i need your love,calvin harris,calvin harris  featuring  ellie goulding,2013
56,"57
",die young,kesha,kesha,2013
57,"58
",some nights,fun,fun,2013
58,"59
",bad,wale,wale  featuring  tiara thomas,2013
59,"60
",boys 'round here,blake shelton,blake shelton  featuring  pistol annies  and friends,2013
60,"61
","gone, gone, gone",phillip phillips,phillip phillips,2013
61,"62
",demons,imagine dragons,imagine dragons,2013
62,"63
",counting stars,onerepublic,onerepublic,2013
63,"64
",i cry,flo rida,flo rida,2013
64,"65
",little talks,of monsters and men,of monsters and men,2013
65,"66
",the other side,jason derulo,jason derulo,2013
66,"67
",berzerk,eminem,eminem,2013
67,"68
",catch my breath,kelly clarkson,kelly clarkson,2013
68,"69
",crash my party,luke bryan,luke bryan,2013
69,"70
",pour it up,rihanna,rihanna,2013
70,"71
",22,taylor swift,taylor swift,2013
71,"72
",i want crazy,hunter hayes,hunter hayes,2013
72,"73
",the fox (what does the fox say?),ylvis,ylvis,2013
73,"74
",best song ever,one direction,one direction,2013
74,"75
",the a team,ed sheeran,ed sheeran,2013
75,"76
",carry on,fun,fun,2013
76,"77
",highway don't care,tim mcgraw,tim mcgraw  featuring  taylor swift  and  keith urban,2013
77,"78
",that's my kind of night,luke bryan,luke bryan,2013
78,"79
",swimming pools (drank),kendrick lamar,kendrick lamar,2013
79,"80
",sure be cool if you did,blake shelton,blake shelton,2013
80,"81
",#beautiful,mariah carey,mariah carey  featuring  miguel,2013
81,"82
",troublemaker,olly murs,olly murs  featuring  flo rida,2013
82,"83
",body party,ciara,ciara,2013
83,"84
",adorn,miguel,miguel,2013
84,"85
",hall of fame,the script,the script  featuring  will.i.am,2013
85,"86
",let me love you (until you learn to love yourself),ne-yo,ne-yo,2013
86,"87
",u.o.e.n.o.,rocko,rocko  featuring  future  and  rick ross,2013
87,"88
",next to me,emeli sandé,emeli sandé,2013
88,"89
",mama's broken heart,miranda lambert,miranda lambert,2013
89,"90
",it goes like this,thomas rhett,thomas rhett,2013
90,"91
",bugatti,ace hood,ace hood  featuring  future  and  rick ross,2013
91,"92
",wanted,hunter hayes,hunter hayes,2013
92,"93
",downtown,lady antebellum,lady antebellum,2013
93,"94
",get your shine on,florida georgia line,florida georgia line,2013
94,"95
",#thatpower,will.i.am,will.i.am  featuring  justin bieber,2013
95,"96
",brave,sara bareilles,sara bareilles,2013
96,"97
",let her go,passenger,passenger,2013
97,"98
",runnin' outta moonlight,randy houser,randy houser,2013
98,"99
",i'm different,2 chainz,2 chainz,2013
99,"100
",still into you,paramore,paramore,2013
0,"1
",happy,pharrell williams,pharrell williams,2014
1,"2
",dark horse,katy perry,katy perry  featuring  juicy j,2014
2,"3
",all of me,john legend,john legend,2014
3,"4
",fancy,iggy azalea,iggy azalea  featuring  charli xcx,2014
4,"5
",counting stars,onerepublic,onerepublic,2014
5,"6
",talk dirty,jason derulo,jason derulo  featuring  2 chainz,2014
6,"7
",rude,magic!,magic!,2014
7,"8
",all about that bass,meghan trainor,meghan trainor,2014
8,"9
",problem,ariana grande,ariana grande  featuring  iggy azalea,2014
9,"10
",stay with me,sam smith,sam smith,2014
10,"11
",timber,pitbull,pitbull  featuring  kesha,2014
11,"12
",pompeii,bastille,bastille,2014
12,"13
",shake it off,taylor swift,taylor swift,2014
13,"14
",am i wrong,nico & vinz,nico & vinz,2014
14,"15
",turn down for what,dj snake,dj snake  and  lil jon,2014
15,"16
",the monster,eminem,eminem  featuring  rihanna,2014
16,"17
",say something,a great big world,a great big world  and  christina aguilera,2014
17,"18
",team,lorde,lorde,2014
18,"19
",let her go,passenger,passenger,2014
19,"20
",royals,lorde,lorde,2014
