index,cluster,song
0,0,thrift shop
1,0,blurred lines
2,2,radioactive
3,1,harlem shake
4,0,can't hold us
5,1,mirrors
6,1,just give me a reason
7,1,when i was your man
8,2,cruise
9,2,roar
10,2,locked out of heaven
11,1,ho hey
12,1,stay
13,1,get lucky
14,1,royals
15,1,i knew you were trouble
16,1,we can't stop
17,1,wrecking ball
18,1,wake me up
19,1,suit & tie
20,2,cups (pitch perfect's 
21,2,scream & shout
22,1,clarity
23,1,sail
24,1,don't you worry child
25,1,diamonds
26,2,i love it
27,1,safe and sound
28,1,treasure
29,0,the way
30,0,started from the bottom
31,1,come & get it
32,1,"hold on, we're going home"
33,1,daylight
34,2,feel this moment
35,2,applause
36,1,one more night
37,0,love me
38,2,my songs know what you did in the dark (light em up)
39,1,beauty and a beat
40,1,same love
41,1,sweet nothing
42,1,summertime sadness
43,1,home
44,1,it's time
45,0,power trip
46,1,girl on fire
47,2,heart attack
48,1,love somebody
49,1,i will wait
50,1,try
51,2,wagon wheel
52,2,gangnam style
53,1,i need your love
54,2,die young
55,1,some nights
56,0,bad
57,2,boys 'round here
58,1,"gone, gone, gone"
59,1,demons
60,1,counting stars
61,0,i cry
62,1,little talks
63,2,the other side
64,0,berzerk
65,1,catch my breath
66,2,crash my party
67,0,pour it up
68,1,22
69,1,i want crazy
70,1,the fox (what does the fox say?)
71,1,best song ever
72,1,the a team
73,2,carry on
74,2,highway don't care
75,1,that's my kind of night
76,0,swimming pools (drank)
77,2,sure be cool if you did
78,1,#beautiful
79,0,troublemaker
80,2,body party
81,2,adorn
82,1,hall of fame
83,1,let me love you (until you learn to love yourself)
84,2,u.o.e.n.o.
85,1,next to me
86,1,mama's broken heart
87,2,it goes like this
88,0,bugatti
89,2,wanted
90,2,downtown
91,1,get your shine on
92,1,#thatpower
93,2,brave
94,1,let her go
95,2,runnin' outta moonlight
96,0,i'm different
97,2,still into you
98,2,happy
99,2,dark horse
100,1,all of me
101,0,fancy
102,1,counting stars
103,1,talk dirty
104,2,rude
105,0,all about that bass
106,0,problem
107,1,stay with me
108,2,timber
109,1,pompeii
110,0,shake it off
111,1,am i wrong
112,1,turn down for what
113,0,the monster
114,2,say something
115,1,team
116,1,let her go
117,1,royals
118,2,let it go
