acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,spotify_album,spotify_artist,spotify_song,tempo,time_signature,type,uri,valence
0.503,0.651,197040.0,0.465,77iRifbhkJGvGBBRNykUwN,0.0455,4.0,0.495,-7.538,1.0,58.0,2016-09-09,0.0328,The End Of Comedy,Drugdealer,Suddenly,107.75,4.0,audio_features,spotify:track:77iRifbhkJGvGBBRNykUwN,0.585
0.646,0.0903,353732.0,0.362,31LKL7XfxR1PTm6Or9KTKv,0.402,7.0,0.106,-8.929,0.0,55.0,2019-04-05,0.0337,Titanic Rising,Weyes Blood,Movies,74.729,4.0,audio_features,spotify:track:31LKL7XfxR1PTm6Or9KTKv,0.0964
0.114,0.679,183525.0,0.71,6IY3cC281mz9q0bViUEldz,0.00322,8.0,0.255,-5.009,0.0,60.0,2017-07-28,0.0321,Content,Joywave,It's A Trip!,97.99,4.0,audio_features,spotify:track:6IY3cC281mz9q0bViUEldz,0.685
0.856,0.633,325155.0,0.565,1iJdIZU5Ffgixa92wrcZZC,0.00542,11.0,0.381,-11.125,1.0,49.0,2017-05-05,0.0614,Meeting Of The Waters,Animal Collective,Man Of Oil,109.951,4.0,audio_features,spotify:track:1iJdIZU5Ffgixa92wrcZZC,0.77
0.354,0.791,168253.0,0.506,77jyU4a7UBdbpZvaYcWYtX,2.47e-05,11.0,0.109,-4.702,0.0,2.0,2016-08-18,0.368,Help,Weaves,Help,77.74,4.0,audio_features,spotify:track:77jyU4a7UBdbpZvaYcWYtX,0.447
0.0801,0.706,229120.0,0.699,5Xan7abEunERTQRmECYSKq,0.166,8.0,0.17,-3.944,1.0,1.0,2015-12-07,0.171,Drag Me Down,Weaves,Drag Me Down,144.857,4.0,audio_features,spotify:track:5Xan7abEunERTQRmECYSKq,0.489
0.148,0.485,313000.0,0.659,7fGxqyHFmWrs3GhpwSht4H,0.00295,5.0,0.171,-5.83,1.0,33.0,2017-07-13,0.0293,EGO,RAC,Fever,85.996,4.0,audio_features,spotify:track:7fGxqyHFmWrs3GhpwSht4H,0.121
0.0415,0.479,210372.0,0.561,3rmdMmjzZUTU1kXrLfnCrM,1.07e-05,0.0,0.171,-7.499,1.0,43.0,2018-05-18,0.0324,Someday / Saturday,Phantogram,Someday,97.017,4.0,audio_features,spotify:track:3rmdMmjzZUTU1kXrLfnCrM,0.0429
0.112,0.575,144800.0,0.492,5uCOnavuGsjM1rQOPMxKRH,2.28e-05,10.0,0.094,-7.022,1.0,38.0,2018-05-18,0.0276,Someday / Saturday,Phantogram,Saturday,122.98,4.0,audio_features,spotify:track:5uCOnavuGsjM1rQOPMxKRH,0.208
0.839,0.292,220050.0,0.433,4BtnAROeVETnXcUHDK2Ahn,3.45e-05,0.0,0.144,-8.586,1.0,40.0,2019-03-08,0.0387,Beware of the Dogs,Stella Donnelly,Lunch,80.866,4.0,audio_features,spotify:track:4BtnAROeVETnXcUHDK2Ahn,0.217
